[257.1, -209.0, 173.0, -173.3, 148.1, -88.5, 58.3, -42.4, 24.0, -10.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[-209.0, 257.1, -209.0, 173.0, -173.3, 148.1, -88.5, 58.3, -42.4, 24.0, -10.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[173.0, -209.0, 257.1, -209.0, 173.0, -173.3, 148.1, -88.5, 58.3, -42.4, 24.0, -10.5, 0.0, 0.0, 0.0, 0.0, 0.0]
[-173.3, 173.0, -209.0, 257.1, -209.0, 173.0, -173.3, 148.1, -88.5, 58.3, -42.4, 24.0, -10.5, 0.0, 0.0, 0.0, 0.0]
[148.1, -173.3, 173.0, -209.0, 257.1, -209.0, 173.0, -173.3, 148.1, -88.5, 58.3, -42.4, 24.0, -10.5, 0.0, 0.0, 0.0]
[-88.5, 148.1, -173.3, 173.0, -209.0, 257.1, -209.0, 173.0, -173.3, 148.1, -88.5, 58.3, -42.4, 24.0, -10.5, 0.0, 0.0]
[58.3, -88.5, 148.1, -173.3, 173.0, -209.0, 257.1, -209.0, 173.0, -173.3, 148.1, -88.5, 58.3, -42.4, 24.0, -10.5, 0.0]
[-42.4, 58.3, -88.5, 148.1, -173.3, 173.0, -209.0, 257.1, -209.0, 173.0, -173.3, 148.1, -88.5, 58.3, -42.4, 24.0, -10.5]
[24.0, -42.4, 58.3, -88.5, 148.1, -173.3, 173.0, -209.0, 257.1, -209.0, 173.0, -173.3, 148.1, -88.5, 58.3, -42.4, 24.0]
[-10.5, 24.0, -42.4, 58.3, -88.5, 148.1, -173.3, 173.0, -209.0, 257.1, -209.0, 173.0, -173.3, 148.1, -88.5, 58.3, -42.4]
[0.0, -10.5, 24.0, -42.4, 58.3, -88.5, 148.1, -173.3, 173.0, -209.0, 257.1, -209.0, 173.0, -173.3, 148.1, -88.5, 58.3]
[0.0, 0.0, -10.5, 24.0, -42.4, 58.3, -88.5, 148.1, -173.3, 173.0, -209.0, 257.1, -209.0, 173.0, -173.3, 148.1, -88.5]
[0.0, 0.0, 0.0, -10.5, 24.0, -42.4, 58.3, -88.5, 148.1, -173.3, 173.0, -209.0, 257.1, -209.0, 173.0, -173.3, 148.1]
[0.0, 0.0, 0.0, 0.0, -10.5, 24.0, -42.4, 58.3, -88.5, 148.1, -173.3, 173.0, -209.0, 257.1, -209.0, 173.0, -173.3]
[0.0, 0.0, 0.0, 0.0, 0.0, -10.5, 24.0, -42.4, 58.3, -88.5, 148.1, -173.3, 173.0, -209.0, 257.1, -209.0, 173.0]
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.5, 24.0, -42.4, 58.3, -88.5, 148.1, -173.3, 173.0, -209.0, 257.1, -209.0]
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.5, 24.0, -42.4, 58.3, -88.5, 148.1, -173.3, 173.0, -209.0, 257.1]
